Job,Machine,Move,Start,Finish
0,0,0.00,0.50,20.00
0,1,20.00,20.50,30.00
0,2,30.00,30.50,56.00
0,3,56.00,56.50,75.00
0,4,75.00,75.50,94.00
0,5,94.00,94.50,94.00
0,6,94.00,94.50,180.00
1,0,20.00,20.50,44.00
1,1,44.00,44.50,56.00
1,2,56.00,56.50,69.00
1,3,75.00,75.50,99.00
1,4,99.00,99.50,110.00
1,5,110.00,110.50,110.00
1,7,110.00,110.50,193.00
2,0,44.00,44.50,59.00
2,1,59.00,59.50,72.00
2,2,75.00,75.50,96.00
2,3,99.00,99.50,117.00
2,4,117.00,117.50,134.00
2,5,134.00,134.50,134.00
2,8,134.00,134.50,223.00
3,0,59.00,59.50,87.00
3,1,87.00,87.50,114.00
3,2,114.00,114.50,141.00
3,3,141.00,141.50,157.00
3,4,157.00,157.50,168.00
3,5,168.00,168.50,180.00
3,6,180.00,180.50,272.00
4,0,87.00,87.50,109.00
4,1,114.00,114.50,131.00
4,2,141.00,141.50,165.00
4,3,165.00,165.50,184.00
4,4,184.00,184.50,203.00
4,5,203.00,203.50,203.00
4,7,203.00,203.50,301.00
5,0,114.00,114.50,130.00
5,1,141.00,141.50,161.00
5,2,165.00,165.50,179.00
5,3,184.00,184.50,201.00
5,4,203.00,203.50,227.00
5,5,227.00,227.50,227.00
5,8,227.00,227.50,323.00
6,0,141.00,141.50,166.00
6,1,166.00,166.50,180.00
6,2,184.00,184.50,195.00
6,3,203.00,203.50,229.00
6,4,229.00,229.50,245.00
6,5,245.00,245.50,272.00
6,6,272.00,272.50,356.00
7,0,166.00,166.50,193.00
7,1,193.00,193.50,217.00
7,2,217.00,217.50,233.00
7,3,233.00,233.50,253.00
7,4,253.00,253.50,277.00
7,5,277.00,277.50,301.00
7,7,301.00,301.50,397.00
8,0,193.00,193.50,222.00
8,1,222.00,222.50,242.00
8,2,242.00,242.50,269.00
8,3,269.00,269.50,297.00
8,4,297.00,297.50,318.00
8,5,318.00,318.50,323.00
8,8,323.00,323.50,417.00
9,0,222.00,222.50,237.00
9,1,242.00,242.50,257.00
9,2,269.00,269.50,295.00
9,3,297.00,297.50,325.00
9,4,325.00,325.50,341.00
9,5,341.00,341.50,356.00
9,6,356.00,356.50,443.00
10,0,242.00,242.50,256.00
10,1,269.00,269.50,286.00
10,2,297.00,297.50,312.00
10,3,325.00,325.50,347.00
10,4,347.00,347.50,368.00
10,5,368.00,368.50,397.00
10,7,397.00,397.50,480.00
11,0,269.00,269.50,292.00
11,1,297.00,297.50,310.00
11,2,325.00,325.50,351.00
11,3,351.00,351.50,373.00
11,4,373.00,373.50,399.00
11,5,399.00,399.50,417.00
11,8,417.00,417.50,507.00
12,0,297.00,297.50,314.00
12,1,325.00,325.50,343.00
12,2,351.00,351.50,371.00
12,3,373.00,373.50,393.00
12,4,399.00,399.50,424.00
12,5,424.00,424.50,443.00
12,6,443.00,443.50,524.00
13,0,325.00,325.50,343.00
13,1,351.00,351.50,365.00
13,2,373.00,373.50,402.00
13,3,402.00,402.50,428.00
13,4,428.00,428.50,443.00
13,5,443.00,443.50,480.00
13,7,480.00,480.50,560.00
14,0,351.00,351.50,367.00
14,1,373.00,373.50,391.00
14,2,402.00,402.50,423.00
14,3,428.00,428.50,451.00
14,4,451.00,451.50,464.00
14,5,464.00,464.50,507.00
14,8,507.00,507.50,606.00
15,0,373.00,373.50,393.00
15,1,402.00,402.50,427.00
15,2,428.00,428.50,451.00
15,3,451.00,451.50,473.00
15,4,473.00,473.50,502.00
15,5,502.00,502.50,524.00
15,6,524.00,524.50,605.00
16,0,402.00,402.50,425.00
16,1,428.00,428.50,455.00
16,2,455.00,455.50,469.00
16,3,473.00,473.50,489.00
16,4,502.00,502.50,520.00
16,5,520.00,520.50,560.00
16,7,560.00,560.50,640.00
17,0,428.00,428.50,456.00
17,1,456.00,456.50,485.00
17,2,485.00,485.50,507.00
17,3,507.00,507.50,531.00
17,4,531.00,531.50,558.00
17,5,558.00,558.50,605.00
17,6,605.00,605.50,702.00
18,0,456.00,456.50,466.00
18,1,485.00,485.50,499.00
18,2,507.00,507.50,531.00
18,3,531.00,531.50,547.00
18,4,558.00,558.50,577.00
18,5,577.00,577.50,606.00
18,8,606.00,606.50,703.00
19,0,485.00,485.50,508.00
19,1,508.00,508.50,526.00
19,2,531.00,531.50,552.00
19,3,558.00,558.50,573.00
19,4,577.00,577.50,593.00
19,5,593.00,593.50,640.00
19,7,640.00,640.50,730.00
