Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup
0,0,0.00,0.00,0.50,6.00,25.47,4,0
1,1,5.39,5.39,5.89,7.39,22.77,0,0
2,2,7.21,7.21,7.71,11.21,22.78,2,0
3,3,8.93,8.93,9.43,13.93,27.48,3,0
4,4,9.64,9.64,10.14,15.64,31.55,4,0
5,1,10.01,317.52,318.02,323.52,342.09,5,1
6,3,14.83,27.48,27.98,32.48,49.59,0,3
7,2,18.42,266.29,266.79,272.29,289.72,1,5
8,1,20.19,22.77,23.27,27.77,38.33,3,0
9,2,20.91,22.78,23.28,27.78,43.72,5,2
10,0,24.74,25.47,25.97,28.47,42.89,5,4
11,0,30.79,42.89,43.39,49.89,62.85,0,5
12,4,31.34,31.55,32.05,37.55,49.29,0,4
13,1,33.34,38.33,38.83,41.33,53.34,4,3
14,3,35.19,49.59,50.09,56.59,70.46,5,0
15,3,42.03,233.62,234.12,237.62,254.78,1,3
16,1,42.43,53.34,53.84,58.34,72.29,1,4
17,2,43.31,43.72,44.22,50.72,63.27,0,5
18,4,46.51,49.29,49.79,54.29,65.45,3,0
19,4,48.66,65.45,65.95,68.45,83.54,4,3
20,3,52.46,70.46,70.96,76.46,92.11,1,5
21,0,54.74,62.85,63.35,67.85,78.91,3,0
22,2,56.01,63.27,63.77,67.27,78.48,2,0
23,4,62.33,99.74,100.24,103.74,120.26,3,1
24,1,67.39,72.29,72.79,76.29,91.86,3,1
25,2,71.27,111.93,112.43,115.93,133.00,2,0
26,0,74.72,94.91,95.41,96.91,112.45,0,0
27,0,75.13,369.25,369.75,373.25,392.86,4,2
28,2,77.18,78.48,78.98,81.48,94.58,1,2
29,0,78.78,323.45,323.95,327.45,346.12,4,2
30,0,78.82,78.91,79.41,83.91,94.91,0,3
31,4,81.05,83.54,84.04,88.54,99.74,1,4
32,2,81.46,94.58,95.08,97.58,111.93,0,1
33,2,83.09,245.07,245.57,249.07,266.29,5,3
34,4,85.22,377.85,378.35,381.85,401.60,1,3
35,3,89.29,92.11,92.61,97.11,110.33,4,1
36,1,90.18,91.86,92.36,93.86,105.87,3,3
37,3,102.83,291.07,291.57,294.07,312.17,4,3
38,1,103.16,105.87,106.37,110.87,127.14,0,3
39,4,103.96,285.47,285.97,289.47,307.40,3,1
40,3,109.57,110.33,110.83,114.33,130.24,2,4
41,3,111.28,130.24,130.74,132.24,148.73,2,2
42,3,111.85,268.53,269.03,273.53,291.07,3,0
43,0,112.15,112.45,112.95,115.45,129.34,1,0
44,4,114.00,120.26,120.76,124.26,136.60,5,3
45,0,115.31,129.34,129.84,135.34,151.20,5,1
46,1,117.97,127.14,127.64,130.14,144.49,1,0
47,2,126.88,336.22,336.72,341.22,360.29,0,3
48,3,129.04,312.17,312.67,317.17,335.51,1,4
49,2,132.05,133.00,133.50,137.00,151.75,0,2
50,4,135.11,136.60,137.10,141.60,154.33,2,5
51,1,135.67,144.49,144.99,149.49,164.34,4,1
52,4,140.06,184.95,185.45,187.95,203.76,0,1
53,0,140.89,278.52,279.02,284.52,302.23,1,5
54,2,141.10,224.32,224.82,228.32,245.07,3,5
55,2,141.67,151.75,152.25,157.75,172.88,4,0
56,3,145.68,148.73,149.23,151.73,163.94,1,2
57,2,146.05,289.72,290.22,295.72,313.67,5,1
58,0,150.56,151.20,151.70,154.20,166.44,4,5
59,4,151.37,242.92,243.42,247.92,265.11,0,3
60,4,152.03,154.33,154.83,157.33,171.67,1,2
61,2,152.78,360.29,360.79,362.29,381.62,0,0
62,3,156.79,163.94,164.44,166.94,177.65,0,1
63,0,158.33,166.44,166.94,169.44,180.55,3,4
64,1,163.48,164.34,164.84,167.34,177.64,3,4
65,3,163.84,213.64,214.14,217.64,233.62,3,5
66,1,165.64,366.20,366.70,369.20,388.64,3,2
67,0,167.65,180.55,181.05,184.55,199.65,1,3
68,4,169.39,171.67,172.17,173.67,184.95,1,1
69,3,170.13,335.51,336.01,341.51,360.53,5,1
70,3,170.45,177.65,178.15,181.65,196.59,2,0
71,0,172.15,217.36,217.86,221.36,237.73,4,2
72,2,172.23,172.88,173.38,177.88,189.19,1,4
73,4,174.76,355.60,356.10,358.60,377.85,3,4
74,1,174.78,177.64,178.14,182.64,194.34,0,3
75,4,176.24,307.40,307.90,312.40,330.73,0,3
76,1,178.71,271.84,272.34,278.84,296.41,0,5
77,2,184.06,381.62,382.12,386.62,406.48,3,0
78,2,185.46,189.19,189.69,192.19,202.77,0,1
79,1,186.88,194.34,194.84,201.34,212.70,5,0
80,3,187.06,196.59,197.09,201.59,213.64,5,2
81,0,187.18,199.65,200.15,202.65,217.36,2,1
82,1,187.21,232.18,232.68,238.18,255.34,4,0
83,3,188.87,360.53,361.03,367.53,386.91,0,5
84,1,190.37,342.09,342.59,347.09,366.20,2,5
85,4,194.89,203.76,204.26,208.76,224.28,3,0
86,4,196.47,330.73,331.23,336.73,355.60,4,0
87,2,198.48,202.77,203.27,209.77,224.32,5,0
88,0,199.93,302.23,302.73,305.23,323.45,2,1
89,3,201.08,386.91,387.41,388.91,408.87,0,0
90,1,210.11,212.70,213.20,219.70,232.18,0,5
91,0,211.06,346.12,346.62,350.12,369.25,2,4
92,4,212.93,224.28,224.78,226.28,242.92,3,3
93,1,216.94,296.41,296.91,299.41,317.52,1,0
94,4,218.04,265.11,265.61,268.11,285.47,1,0
95,0,235.14,237.73,238.23,241.73,256.93,2,4
96,0,245.19,256.93,257.43,261.93,278.52,5,2
97,3,246.59,254.78,255.28,257.78,268.53,0,1
98,2,250.88,313.67,314.17,317.67,336.22,3,5
99,1,251.88,255.34,255.84,258.34,271.84,5,4
