Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup
0,0,0.00,0.00,0.50,6.00,25.47,4,0
1,1,5.39,5.39,5.89,7.39,22.77,0,0
2,2,7.21,7.21,7.71,11.21,22.78,2,0
3,3,8.93,8.93,9.43,13.93,27.48,3,0
4,4,9.64,9.64,10.14,15.64,31.55,4,0
5,1,10.01,311.99,312.49,314.99,333.56,5,4
6,2,14.83,22.78,23.28,26.78,43.89,0,2
7,0,18.42,266.05,266.55,269.05,286.49,1,0
8,1,20.19,22.77,23.27,27.77,38.33,3,0
9,0,20.91,25.47,25.97,28.47,44.41,5,4
10,3,24.74,27.48,27.98,31.48,45.90,5,3
11,2,30.79,43.89,44.39,45.89,58.85,0,0
12,4,31.34,31.55,32.05,37.55,49.29,0,4
13,1,33.34,38.33,38.83,41.33,53.34,4,3
14,0,35.19,44.41,44.91,46.41,60.29,5,5
15,0,42.03,76.51,77.01,79.51,96.67,1,2
16,1,42.43,53.34,53.84,58.34,72.29,1,4
17,3,43.31,45.90,46.40,52.90,65.44,0,5
18,4,46.51,49.29,49.79,54.29,65.45,3,0
19,3,48.66,65.44,65.94,71.44,86.54,4,0
20,4,52.46,65.45,65.95,69.45,85.10,1,3
21,2,54.74,58.85,59.35,63.85,74.91,3,0
22,0,56.01,60.29,60.79,65.29,76.51,2,5
23,2,62.33,74.91,75.41,76.91,93.43,3,3
24,1,67.39,72.29,72.79,76.29,91.86,3,1
25,2,71.27,107.45,107.95,110.45,127.51,2,3
26,3,74.72,102.73,103.23,105.73,121.27,0,1
27,4,75.13,368.23,368.73,372.23,391.84,4,2
28,1,77.18,91.86,92.36,95.86,108.96,1,3
29,4,78.78,322.43,322.93,326.43,345.10,4,2
30,4,78.82,85.10,85.60,88.10,99.10,0,1
31,3,81.05,86.54,87.04,91.54,102.73,1,4
32,4,81.46,99.10,99.60,101.10,115.45,0,0
33,4,83.09,132.35,132.85,138.35,155.57,5,1
34,2,85.22,372.40,372.90,376.40,396.16,1,3
35,0,89.29,96.67,97.17,101.67,114.88,4,1
36,2,90.18,93.43,93.93,95.43,107.45,3,3
37,1,102.83,287.89,288.39,293.89,311.99,4,0
38,1,103.16,108.96,109.46,111.96,128.22,0,1
39,2,103.96,280.03,280.53,284.03,301.96,3,5
40,1,109.57,128.22,128.72,132.22,148.14,2,0
41,0,111.28,130.21,130.71,135.21,151.70,2,5
42,3,111.85,267.75,268.25,271.75,289.28,3,1
43,4,112.15,115.45,115.95,118.45,132.35,1,0
44,0,114.00,114.88,115.38,117.88,130.21,5,4
45,3,115.31,121.27,121.77,128.27,144.12,5,0
46,2,117.97,127.51,128.01,130.51,144.86,1,2
47,3,126.88,333.95,334.45,338.95,358.02,0,3
48,0,129.04,310.43,310.93,316.43,334.78,1,5
49,2,132.05,144.86,145.36,147.86,162.62,0,1
50,3,135.11,144.12,144.62,149.12,161.85,2,5
51,0,135.67,151.70,152.20,155.70,170.55,4,2
52,2,140.06,214.48,214.98,221.48,237.28,0,5
53,4,140.89,277.50,278.00,283.50,301.21,1,5
54,1,141.10,230.82,231.32,235.82,252.57,3,0
55,4,141.67,200.67,201.17,206.67,221.81,4,0
56,1,145.68,148.14,148.64,151.14,163.36,1,2
57,0,146.05,286.49,286.99,292.49,310.43,5,1
58,4,150.56,155.57,156.07,158.57,170.81,4,5
59,0,151.37,242.86,243.36,248.86,266.05,0,4
60,1,152.03,163.36,163.86,165.36,179.69,1,1
61,1,152.78,354.57,355.07,361.57,380.91,0,5
62,3,156.79,161.85,162.35,165.85,176.57,0,2
63,2,158.33,162.62,163.12,167.62,178.73,3,0
64,0,163.48,170.55,171.05,173.55,183.85,3,4
65,4,163.84,221.81,222.31,224.81,240.79,3,4
66,3,165.64,358.02,358.52,363.02,382.46,3,0
67,0,167.65,183.85,184.35,187.85,202.95,1,3
68,4,169.39,170.81,171.31,175.81,187.09,1,4
69,1,170.13,333.56,334.06,335.56,354.57,5,5
70,1,170.45,179.69,180.19,182.69,197.63,2,1
71,0,172.15,223.49,223.99,226.49,242.86,4,5
72,3,172.23,176.57,177.07,179.57,190.87,1,0
73,2,174.76,350.16,350.66,353.16,372.40,3,4
74,2,174.78,178.73,179.23,183.73,195.43,0,3
75,2,176.24,301.96,302.46,306.96,325.29,0,3
76,1,178.71,268.32,268.82,270.32,287.89,0,0
77,0,184.06,380.27,380.77,385.27,405.12,3,0
78,4,185.46,187.09,187.59,190.09,200.67,0,1
79,3,186.88,190.87,191.37,196.87,208.22,5,1
80,2,187.06,195.43,195.93,202.43,214.48,5,0
81,1,187.18,197.63,198.13,199.63,214.34,2,2
82,2,187.21,237.28,237.78,243.28,260.44,4,0
83,0,188.87,356.89,357.39,360.89,380.27,0,2
84,0,190.37,334.78,335.28,337.78,356.89,2,1
85,3,194.89,208.22,208.72,212.22,227.75,3,5
86,2,196.47,325.29,325.79,331.29,350.16,4,0
87,0,198.48,202.95,203.45,208.95,223.49,5,1
88,4,199.93,301.21,301.71,304.21,322.43,2,1
89,1,201.08,380.91,381.41,382.91,402.87,0,0
90,1,210.11,214.34,214.84,218.34,230.82,0,2
91,4,211.06,345.10,345.60,349.10,368.23,2,4
92,3,212.93,227.75,228.25,229.75,246.39,3,3
93,3,216.94,289.28,289.78,293.28,311.40,1,3
94,3,218.04,246.39,246.89,250.39,267.75,1,3
95,4,235.14,240.79,241.29,243.79,258.99,2,3
96,2,245.19,260.44,260.94,263.44,280.03,5,4
97,1,246.59,252.57,253.07,257.57,268.32,0,3
98,3,250.88,311.40,311.90,315.40,333.95,3,1
99,4,251.88,258.99,259.49,263.99,277.50,5,2
