Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup
0,0,0.00,0.00,0.50,6.00,25.47,4,0
1,1,5.39,5.39,5.89,7.39,22.77,0,0
2,2,7.21,7.21,7.71,11.21,22.78,2,0
3,3,8.93,8.93,9.43,13.93,27.48,3,0
4,4,9.64,9.64,10.14,15.64,31.55,4,0
5,0,10.01,281.55,282.05,283.55,302.12,5,5
6,3,14.83,128.15,128.65,130.15,147.26,0,0
7,2,18.42,22.78,23.28,25.78,43.21,1,2
8,1,20.19,22.77,23.27,27.77,38.33,3,0
9,3,20.91,27.48,27.98,31.48,47.42,5,3
10,0,24.74,25.47,25.97,28.47,42.89,5,4
11,3,30.79,62.58,63.08,67.58,80.54,0,3
12,4,31.34,31.55,32.05,37.55,49.29,0,4
13,1,33.34,38.33,38.83,41.33,53.34,4,3
14,0,35.19,42.89,43.39,44.89,58.76,5,5
15,1,42.03,106.10,106.60,108.10,125.26,1,1
16,2,42.43,43.21,43.71,45.21,59.17,1,1
17,4,43.31,49.29,49.79,51.29,63.83,0,0
18,3,46.51,47.42,47.92,51.42,62.58,3,5
19,1,48.66,53.34,53.84,55.34,70.43,4,4
20,4,52.46,63.83,64.33,66.83,82.49,1,0
21,0,54.74,58.76,59.26,62.76,73.82,3,5
22,2,56.01,59.17,59.67,62.17,73.39,2,1
23,0,62.33,73.82,74.32,75.82,92.34,3,3
24,1,67.39,70.43,70.93,73.43,89.00,3,4
25,2,71.27,73.39,73.89,75.39,92.46,2,2
26,4,74.72,95.68,96.18,98.68,114.22,0,1
27,4,75.13,336.12,336.62,338.12,357.72,4,4
28,1,77.18,89.00,89.50,93.00,106.10,1,3
29,4,78.78,315.45,315.95,317.45,336.12,4,4
30,3,78.82,80.54,81.04,82.54,93.54,0,0
31,4,81.05,82.49,82.99,84.49,95.68,1,1
32,3,81.46,93.54,94.04,95.54,109.89,0,0
33,0,83.09,223.79,224.29,225.79,243.01,5,5
34,3,85.22,305.59,306.09,307.59,327.35,1,1
35,2,89.29,92.46,92.96,96.46,109.67,4,2
36,0,90.18,92.34,92.84,94.34,106.36,3,3
37,4,102.83,295.35,295.85,297.35,315.45,4,4
38,3,103.16,109.89,110.39,111.89,128.15,0,0
39,0,103.96,106.36,106.86,108.36,126.29,3,3
40,2,109.57,109.67,110.17,113.67,129.59,2,4
41,2,111.28,129.59,130.09,131.59,148.07,2,2
42,1,111.85,260.35,260.85,262.35,279.89,3,3
43,4,112.15,114.22,114.72,117.22,131.11,1,0
44,0,114.00,126.29,126.79,130.29,142.63,5,3
45,4,115.31,221.46,221.96,223.46,239.32,5,5
46,1,117.97,125.26,125.76,127.26,141.61,1,1
47,2,126.88,309.18,309.68,312.18,331.25,0,1
48,4,129.04,131.11,131.61,133.11,151.46,1,1
49,2,132.05,148.07,148.57,152.07,166.82,0,2
50,1,135.11,141.61,142.11,144.61,157.34,2,1
51,0,135.67,142.63,143.13,145.63,160.48,4,5
52,3,140.06,193.52,194.02,195.52,211.33,0,0
53,3,140.89,284.88,285.38,287.88,305.59,1,0
54,1,141.10,241.60,242.10,243.60,260.35,3,3
55,4,141.67,168.70,169.20,170.70,185.83,4,4
56,3,145.68,147.26,147.76,150.26,162.48,1,0
57,0,146.05,243.01,243.51,245.01,262.96,5,5
58,4,150.56,151.46,151.96,156.46,168.70,4,1
59,3,151.37,225.81,226.31,227.81,245.00,0,0
60,3,152.03,162.48,162.98,164.48,178.81,1,1
61,2,152.78,331.25,331.75,333.25,352.58,0,0
62,1,156.79,157.34,157.84,161.34,172.05,0,2
63,0,158.33,160.48,160.98,163.48,174.59,3,4
64,2,163.48,166.82,167.32,171.82,182.12,3,0
65,2,163.84,216.77,217.27,219.77,235.75,3,2
66,0,165.64,345.00,345.50,348.00,367.44,3,4
67,1,167.65,186.33,186.83,188.33,203.44,1,1
68,1,169.39,172.05,172.55,175.05,186.33,1,0
69,0,170.13,302.12,302.62,304.12,323.13,5,5
70,2,170.45,182.12,182.62,185.12,200.06,2,3
71,4,172.15,239.32,239.82,242.32,258.68,4,5
72,0,172.23,174.59,175.09,178.59,189.89,1,3
73,1,174.76,342.77,343.27,345.77,365.02,3,2
74,3,174.78,178.81,179.31,181.81,193.52,0,1
75,3,176.24,264.56,265.06,266.56,284.88,0,0
76,3,178.71,245.00,245.50,247.00,264.56,0,0
77,3,184.06,349.48,349.98,352.48,372.34,3,2
78,4,185.46,185.83,186.33,191.83,202.41,0,4
79,0,186.88,189.89,190.39,195.89,207.25,5,1
80,4,187.06,202.41,202.91,209.41,221.46,5,0
81,2,187.18,200.06,200.56,202.06,216.77,2,2
82,4,187.21,275.19,275.69,278.19,295.35,4,5
83,2,188.87,352.58,353.08,354.58,373.96,0,0
84,1,190.37,321.66,322.16,323.66,342.77,2,2
85,1,194.89,203.44,203.94,207.44,222.96,3,1
86,0,196.47,323.13,323.63,326.13,345.00,4,5
87,0,198.48,207.25,207.75,209.25,223.79,5,5
88,1,199.93,300.44,300.94,303.44,321.66,2,3
89,4,201.08,357.72,358.22,363.72,383.69,0,4
90,3,210.11,211.33,211.83,213.33,225.81,0,0
91,3,211.06,327.35,327.85,330.35,349.48,2,1
92,1,212.93,222.96,223.46,224.96,241.60,3,3
93,2,216.94,289.06,289.56,291.06,309.18,1,1
94,2,218.04,268.71,269.21,271.71,289.06,1,0
95,2,235.14,235.75,236.25,238.75,253.95,2,3
96,0,245.19,262.96,263.46,264.96,281.55,5,5
97,2,246.59,253.95,254.45,257.95,268.71,0,2
98,1,250.88,279.89,280.39,281.89,300.44,3,3
99,4,251.88,258.68,259.18,261.68,275.19,5,4
